Transaction_ID,Product_ID,Customer_ID,Staff_ID,Date,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales
0,0,0,0,2023-01-01 00:00:00,2,12.532304149429804,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,Sunday,25.064608298859607
1,1,1,1,2023-01-01 01:00:00,1,7.083069895947755,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,Sunday,7.083069895947755
2,2,2,2,2023-01-01 02:00:00,5,6.736064100180581,North,Cash,True,Rainy,27.154342182681738,Excellent,Unknown,43,Phone Order,Sunday,33.68032050090291
3,3,3,3,2023-01-01 03:00:00,2,7.314823479246191,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,Sunday,14.629646958492382
4,4,4,4,2023-01-01 04:00:00,1,7.577727219906418,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Sunday,7.577727219906418
5,1,5,5,2023-01-01 05:00:00,2,14.568156389954508,West,Cash,True,Rainy,27.154342182681738,Poor,Neutral,30,Phone Order,Sunday,29.136312779909016
6,1,6,6,2023-01-01 06:00:00,3,16.114718754118677,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,Unknown,15,In Store,Sunday,48.34415626235603
7,3,7,7,2023-01-01 07:00:00,5,12.94987284389628,West,Online,False,Sunny,27.154342182681738,Average,Positive,16,Online Order,Sunday,64.74936421948141
8,3,8,8,2023-01-01 08:00:00,4,17.435265988182366,East,Cash,True,Rainy,27.154342182681738,Poor,Neutral,29,Phone Order,Sunday,69.74106395272946
9,5,9,9,2023-01-01 09:00:00,2,19.8689484010045,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Sunday,39.737896802009
10,2,10,10,2023-01-01 10:00:00,3,17.30018943679034,South,Online,False,Cloudy,27.154342182681738,Good,Neutral,42,In Store,Sunday,51.90056831037102
11,3,11,11,2023-01-01 11:00:00,4,15.423235605139388,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,Sunday,61.69294242055755
12,6,12,12,2023-01-01 12:00:00,4,12.9873904915572,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,Sunday,51.9495619662288
13,7,13,13,2023-01-01 13:00:00,2,11.732796075120625,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,Sunday,23.46559215024125
14,4,14,14,2023-01-01 14:00:00,1,6.265885708168135,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,Sunday,6.265885708168135
15,2,15,15,2023-01-01 15:00:00,2,10.990531225920364,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,Sunday,21.981062451840728
16,6,16,16,2023-01-01 16:00:00,3,18.65201955173201,South,Credit Card,False,Rainy,22.86916056556096,Excellent,Negative,27,In Store,Sunday,55.956058655196045
17,0,17,17,2023-01-01 17:00:00,4,17.120339448598294,North,Cash,False,Rainy,27.75676896285379,Excellent,Positive,15,Phone Order,Sunday,68.48135779439318
18,3,18,18,2023-01-01 18:00:00,2,8.240770475175308,South,Credit Card,True,Cloudy,33.62125530589782,Poor,Positive,30,In Store,Sunday,16.481540950350617
19,3,19,19,2023-01-01 19:00:00,1,11.999116770458238,West,Cash,True,Rainy,32.06561621206551,Poor,Positive,55,Online Order,Sunday,11.999116770458238
20,1,20,20,2023-01-01 20:00:00,2,17.25084803837817,West,Online,False,Sunny,20.987447650447308,Poor,Positive,36,Phone Order,Sunday,34.50169607675634
21,6,21,21,2023-01-01 21:00:00,5,6.010768321782837,North,Cash,False,Rainy,30.38859200116373,Average,Unknown,46,In Store,Sunday,30.053841608914187
22,1,22,22,2023-01-01 22:00:00,1,10.810888785029888,West,Credit Card,True,Rainy,28.578462836884302,Good,Positive,30,Phone Order,Sunday,10.810888785029888
23,5,23,23,2023-01-01 23:00:00,3,17.777618553109214,East,Credit Card,True,Cloudy,33.61194764519638,Poor,Neutral,29,Phone Order,Sunday,53.33285565932764
24,1,24,24,2023-01-02 00:00:00,4,11.058467962551855,East,Online,False,Rainy,21.837221252754457,Good,Neutral,56,Online Order,Monday,44.23387185020742
25,5,25,25,2023-01-02 01:00:00,2,6.1642196709716135,East,Credit Card,False,Cloudy,28.01054169806985,Excellent,Neutral,26,Phone Order,Monday,12.328439341943229
26,5,26,26,2023-01-02 02:00:00,1,13.138015527983772,East,Cash,False,Rainy,33.191940402678384,Good,Unknown,15,Online Order,Monday,13.138015527983772
27,3,27,27,2023-01-02 03:00:00,5,17.926137423774428,East,Cash,True,Sunny,26.150356801126144,Average,Unknown,31,Phone Order,Monday,89.63068711887215
28,0,28,28,2023-01-02 04:00:00,1,13.854283144297396,West,Online,False,Sunny,27.229923765993007,Average,Positive,55,Phone Order,Monday,13.854283144297396
29,1,29,29,2023-01-02 05:00:00,5,8.394186623213477,North,Credit Card,True,Cloudy,21.05691016500437,Good,Negative,42,Phone Order,Monday,41.970933116067386
